Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
Florida (10-0),11/28/2024,"Wake Forest
@Kissimmee, FL (2024-25 MBB ESPN Events Invitational)",W 75-58,200:00,23,58,8,27,21,27,75,15,29,44,8,11,10,1,17,
Florida (10-0),11/29/2024,"Wichita St.
@Kissimmee, FL (2024-25 MBB ESPN Events Invitational)",W 88-51,200:00,35,78,14,33,4,5,88,20,36,56,20,8,6,8,16,
Florida (10-0),12/04/2024,Virginia,W 87-69,200:00,31,60,10,25,15,21,87,11,19,30,14,6,9,3,12,
Florida (10-0),12/14/2024,"Arizona St.
@Atlanta, GA (2024-25 MBB Holiday Hoopsgiving)",W 83-66,200:00,32,67,10,30,9,10,83,12,35,47,17,14,7,5,19,
Florida (10-0),12/17/2024,"North Carolina
@Charlotte, NC (2024-25 MBB Jumpman Invitational )",W 90-84,200:00,30,65,11,32,19,27,90,16,30,46,14,17,7,3,20,
Florida (10-0),12/21/2024 12:00 PM,North Florida,,,,,,,,,,,,,,,,,,
Florida (10-0),12/29/2024 01:00 PM,Stetson,,,,,,,,,,,,,,,,,,
Florida (10-0),01/04/2025 11:00 AM,@ Kentucky,,,,,,,,,,,,,,,,,,
Florida (10-0),01/07/2025 07:00 PM,Tennessee,,,,,,,,,,,,,,,,,,
Florida (10-0),01/11/2025 04:00 PM,@ Arkansas,,,,,,,,,,,,,,,,,,
Florida (10-0),01/14/2025 09:00 PM,Missouri,,,,,,,,,,,,,,,,,,
Florida (10-0),01/18/2025 TBA,Texas,,,,,,,,,,,,,,,,,,
Florida (10-0),01/22/2025 07:00 PM,@ South Carolina,,,,,,,,,,,,,,,,,,
Florida (10-0),01/25/2025 03:30 PM,Georgia,,,,,,,,,,,,,,,,,,
Florida (10-0),02/01/2025 12:00 PM,@ Tennessee,,,,,,,,,,,,,,,,,,
Florida (10-0),02/04/2025 07:00 PM,Vanderbilt,,,,,,,,,,,,,,,,,,
Florida (10-0),02/08/2025 TBA,@ Auburn,,,,,,,,,,,,,,,,,,
Florida (10-0),02/11/2025 07:00 PM,@ Mississippi St.,,,,,,,,,,,,,,,,,,
Florida (10-0),02/15/2025 08:30 PM,South Carolina,,,,,,,,,,,,,,,,,,
Florida (10-0),02/18/2025 07:00 PM,Oklahoma,,,,,,,,,,,,,,,,,,
Florida (10-0),02/22/2025 06:00 PM,@ LSU,,,,,,,,,,,,,,,,,,
Florida (10-0),02/25/2025 07:00 PM,@ Georgia,,,,,,,,,,,,,,,,,,
Florida (10-0),03/01/2025 08:30 PM,Texas A&M,,,,,,,,,,,,,,,,,,
Florida (10-0),03/05/2025 TBA,@ Alabama,,,,,,,,,,,,,,,,,,
Florida (10-0),03/08/2025 06:00 PM,Ole Miss,,,,,,,,,,,,,,,,,,
Florida (10-0),Totals,2200:00,338,716,108,321,168,231,952,162,318,480,171,120,88,58,177,,,MISSING
Florida (10-0),Defensive Totals,2200:00,267,684,67,235,134,182,735,127,240,367,106,147,67,32,194,2,,MISSING
UCLA (9-1),11/04/2024,Rider,W 85-50,200:00,34,65,10,29,7,12,85,15,30,45,21,9,6,9,13,
UCLA (9-1),11/08/2024,"New Mexico
@Henderson, NV (2024-25 MBB Las Vegas Hoopfest)",L 64-72,200:00,20,55,5,23,19,27,64,14,20,34,13,21,12,3,24,
UCLA (9-1),11/11/2024,Boston U.,W 71-40,200:00,24,60,5,22,18,21,71,11,25,36,14,15,14,2,15,
UCLA (9-1),11/15/2024,Lehigh,W 85-45,200:00,31,56,3,13,20,26,85,11,36,47,14,8,5,,19,
UCLA (9-1),11/20/2024,Idaho St.,W 84-70,200:00,27,47,9,14,21,26,84,8,17,25,16,11,7,,18,
UCLA (9-1),11/22/2024,Cal St. Fullerton,W 80-47,200:00,30,60,6,18,14,23,80,12,24,36,22,7,14,4,14,
UCLA (9-1),11/26/2024,Southern Utah,W 88-43,200:00,38,80/,6,20,6,9,88,20,21,41,21,8,15,4,20,
UCLA (9-1),12/03/2024,Washington,W 69-58,200:00,25,60,8,21,11,22,69,12,23,35,16,8,6,3,17,
UCLA (9-1),12/08/2024,@ Oregon,W 73-71,200:00,28,62,12,23,5,7,73,6,17,23,10,9,7,1,15,
UCLA (9-1),12/14/2024,"Arizona
@Phoenix, AZ",W 57-54,200:00,23,51,4,21,7,16,57,8,16,24,10,14,10,1,16,
UCLA (9-1),12/17/2024,Prairie View,W 111-75,200:00,36,61,10,21,29,37,111,12,27,39,26,10,6,4,20,1
UCLA (9-1),12/21/2024 03:00 PM,"North Carolina
@New York, NY (2024-25 MBB CBS Sports Classic)",,,,,,,,,,,,,,,,,,
UCLA (9-1),12/28/2024 08:00 PM,"Gonzaga
@Inglewood, CA (2024-25 MBB West Coast Hoops Showdown)",,,,,,,,,,,,,,,,,,
UCLA (9-1),01/04/2025 02:00 PM,@ Nebraska,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/07/2025 10:00 PM,Michigan,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/10/2025 08:00 PM,@ Maryland,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/13/2025 TBA,@ Rutgers,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/17/2025 09:00 PM,Iowa,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/21/2025 09:30 PM,Wisconsin,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/24/2025 11:00 PM,@ Washington,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/27/2025 TBA,@ Southern California,,,,,,,,,,,,,,,,,,
UCLA (9-1),01/30/2025 10:30 PM,Oregon,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/04/2025 10:00 PM,Michigan St.,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/08/2025 04:00 PM,Penn St.,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/11/2025 08:00 PM,@ Illinois,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/14/2025 TBA,@ Indiana,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/18/2025 10:30 PM,Minnesota,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/23/2025 03:45 PM,Ohio St.,,,,,,,,,,,,,,,,,,
UCLA (9-1),02/28/2025 TBA,@ Purdue,,,,,,,,,,,,,,,,,,
UCLA (9-1),03/03/2025 TBA,@ Northwestern,,,,,,,,,,,,,,,,,,
UCLA (9-1),03/08/2025 TBA,Southern California,,,,,,,,,,,,,,,,,,
UCLA (9-1),Totals,2200:00,316,657,78,225,157,226,867,129,256,385,183,120,102,31,191,1,1,MISSING
UCLA (9-1),Defensive Totals,2200:00,215,552,67,230,128,183,625,100,237,337,128,203,70,22,210,4,1,MISSING
Kentucky (10-1),11/04/2024,Wright St.,W 103-62,200:00,39,65,11,24,14,19,103,7,34,41,30,7,11,4,14,
Kentucky (10-1),11/09/2024,Bucknell,W 100-72,200:00,38,79/,13,36,11,16,100,22,35,57/,23,15,9,6,13,
Kentucky (10-1),11/12/2024,"Duke
@Atlanta, GA (2024-25 MBB Champions Classic)",W 77-72,200:00,25,63,10,25,17,24,77,10,33,43,17,11,4,8,18,
Kentucky (10-1),11/19/2024,Lipscomb,W 97-68,200:00,34,62,12,25,17,21,97,9,34,43,10,8,3,6,14,
Kentucky (10-1),11/22/2024,Jackson St.,W 108-59,200:00,41,71,17,39,9,10,108,4,37,41,29,10,13,9,11,
Kentucky (10-1),11/26/2024,Western Ky.,W 87-68,200:00,25,62,8,29,29,42,87,16,38,54,16,11,5,7,20,
Kentucky (10-1),11/29/2024,Georgia St.,W 105-76,200:00,40,67,7,26,18,22,105,7,29,36,23,9,10,2,20,
Kentucky (10-1),12/03/2024,@ Clemson,L 66-70,200:00,24,63,7,27,11,18,66,15,29,44,11,12,6,6,20,
Kentucky (10-1),12/07/2024,"Gonzaga
@Seattle, WA",W 90-89 (1 OT),225:00,34,75,7,25,15,18,90,16,27,43,17,7,1,4,21,
Kentucky (10-1),12/11/2024,Colgate,W 78-67,200:00,30,70,10,31,8,13,78,16,30,46,15,6,6,4,6,
Kentucky (10-1),12/14/2024,Louisville,W 93-85,200:00,32,55,11,21,18,28,93,7,34,41,23,11,6,2,18,
Kentucky (10-1),12/21/2024 05:30 PM,"Ohio St.
@New York, NY (2024-25 MBB CBS Sports Classic)",,,,,,,,,,,,,,,,,,
Kentucky (10-1),12/31/2024 02:00 PM,Brown,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/04/2025 11:00 AM,Florida,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/07/2025 07:00 PM,@ Georgia,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/11/2025 08:30 PM,@ Mississippi St.,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/14/2025 07:00 PM,Texas A&M,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/18/2025 12:00 PM,Alabama,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/25/2025 02:30 PM,@ Vanderbilt,,,,,,,,,,,,,,,,,,
Kentucky (10-1),01/28/2025 07:00 PM,@ Tennessee,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/01/2025 09:00 PM,Arkansas,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/04/2025 07:00 PM,@ Ole Miss,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/08/2025 12:00 PM,South Carolina,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/11/2025 07:00 PM,Tennessee,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/15/2025 08:00 PM,@ Texas,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/19/2025 07:00 PM,Vanderbilt,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/22/2025 TBA,@ Alabama,,,,,,,,,,,,,,,,,,
Kentucky (10-1),02/26/2025 09:00 PM,@ Oklahoma,,,,,,,,,,,,,,,,,,
Kentucky (10-1),03/01/2025 TBA,Auburn,,,,,,,,,,,,,,,,,,
Kentucky (10-1),03/04/2025 TBA,LSU,,,,,,,,,,,,,,,,,,
Kentucky (10-1),03/08/2025 12:00 PM,@ Missouri,,,,,,,,,,,,,,,,,,
Kentucky (10-1),Totals,2225:00,362,732,113,308,167,231,"1,004",129,360,489,214,107,74,58,175,,4,MISSING
Kentucky (10-1),Defensive Totals,2225:00,292,742,84,305,120,174,788,119,280,399,131,114,56,27,183,5,3,MISSING
