Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
Auburn (7-0),01/14/2025 TBA,Mississippi St.,,,,,,,,,,,,,,,,,,
Auburn (7-0),01/18/2025 01:00 PM,@ Georgia,,,,,,,,,,,,,,,,,,
Auburn (7-0),01/25/2025 TBA,Tennessee,,,,,,,,,,,,,,,,,,
Auburn (7-0),01/29/2025 07:00 PM,@ LSU,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/01/2025 TBA,@ Ole Miss,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/04/2025 TBA,Oklahoma,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/08/2025 TBA,Florida,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/11/2025 07:00 PM,@ Vanderbilt,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/15/2025 TBA,@ Alabama,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/19/2025 TBA,Arkansas,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/22/2025 TBA,Georgia,,,,,,,,,,,,,,,,,,
Auburn (7-0),02/26/2025 TBA,Ole Miss,,,,,,,,,,,,,,,,,,
Auburn (7-0),03/01/2025 TBA,@ Kentucky,,,,,,,,,,,,,,,,,,
Auburn (7-0),03/04/2025 TBA,@ Texas A&M,,,,,,,,,,,,,,,,,,
Auburn (7-0),03/08/2025 TBA,Alabama,,,,,,,,,,,,,,,,,,
Auburn (7-0),Totals,2200:00,352,689,114,300,156,204,974,126,306,432,206,98,74,72,193,2,2,MISSING
Auburn (7-0),Defensive Totals,2200:00,250,642,64,205,152,211,716,109,230,339,82,124,65,19,177,2,,MISSING
Iowa St. (5-1),11/04/2024,Mississippi Val.,W 83-44,200:00,28,59,5,21,22,29,83,11,27,38,16,12,16,6,12,
Iowa St. (5-1),11/11/2024,Kansas City,W 82-56,200:00,30,62,10,25,12,19,82,13,26,39,21,7,5,2,13,
Iowa St. (5-1),11/18/2024,IU Indy,W 87-52,200:00,31,62,7,25,18,24,87,11,29,40,19,9,8,4,10,
Iowa St. (5-1),11/25/2024,"Auburn
@Lahaina, HI (2024-25 MBB Maui Invitational)",L 81-83,200:00,25,53,7,18,24,29,81,5,22,27,12,9,9,,18,
Iowa St. (5-1),11/26/2024,"Dayton
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 89-84,200:00,30,58,4,17,25,29,89,8,17,25,11,7,7,2,21,1
Iowa St. (5-1),11/27/2024,"Colorado
@Lahaina, HI (2024-25 MBB Maui Invitational)",W 99-71,200:00,35,58,11,25,18,23,99,7,24,31,18,10,13,,19,
Iowa St. (5-1),12/04/2024,Marquette,W 81-70,200:00,30,59,6,15,15,21,81,11,29,40,16,12,6,6,14,
Iowa St. (5-1),12/08/2024,Jackson St.,W 100-58,200:00,34,67,11,28,21,29,100,15,27,42,26,7,16,2,14,
Iowa St. (5-1),12/12/2024,@ Iowa,W 89-80,200:00,31,70,11,28,16,22,89,18,28,46,16,9,7,3,15,
Iowa St. (5-1),12/15/2024,Omaha,W 83-51,200:00,32,60,6,20,13,18,83,12,27,39,19,12,11,4,10,
Iowa St. (5-1),12/22/2024 01:00 PM,Morgan St.,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),12/30/2024 09:00 PM,@ Colorado,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/04/2025 02:00 PM,Baylor,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/07/2025 08:00 PM,Utah,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/11/2025 TBA,@ Texas Tech,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/15/2025 07:00 PM,Kansas,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/18/2025 TBA,@ West Virginia,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/21/2025 08:00 PM,UCF,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/25/2025 TBA,@ Arizona St.,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),01/27/2025 10:30 PM,@ Arizona,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/01/2025 02:00 PM,Kansas St.,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/03/2025 TBA,@ Kansas,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/08/2025 01:00 PM,TCU,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/11/2025 TBA,@ UCF,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/15/2025 04:00 PM,Cincinnati,,,,,,,,,,,,,,,,,,
Iowa St. (5-1),02/18/2025 08:00 PM,Colorado,,,,,,,,,,,,,,,,,,
